label,detected_language,num_comment_lines,comment_ratio,avg_comment_length_words,comment_to_code_ratio,num_block_comments,num_docstrings,avg_identifier_length,avg_function_name_length,single_char_name_ratio,lexical_diversity,snake_case_ratio,camel_case_ratio,naming_consistency,total_lines,empty_line_ratio,avg_line_length,max_line_length,uses_tabs,trailing_whitespace_ratio,operator_spacing_consistency,ast_depth,unique_node_type_ratio,ast_nodes_per_line,avg_function_length,max_function_length,avg_args_per_function,function_density,class_density,import_density,if_density,for_density,while_density,try_density,lambda_density,max_nesting_depth,avg_nesting_depth,cyclomatic_complexity_approx,char_entropy,token_entropy,perplexity,model_available,source
1,python,0,0.0,0.0,0.0,0,0,2.5,0.0,0.5833333333333334,0.5,0.0,0.0,0.0,7,0.0,16.428571428571427,26,0,0.0,1.0,14,0.35526315789473684,10.857142857142858,0.0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,3,2.0,4.0,3.9300083803246126,4.101669732127093,-1.0,0,AIGCodeSet
1,python,4,0.10256410256410256,7.0,0.16091954022988506,0,0,4.7701149425287355,5.0,0.21839080459770116,0.3563218390804598,0.11494252873563218,0.0,0.11494252873563218,39,0.1794871794871795,34.125,105,0,0.0,1.0,13,0.14138817480719795,12.15625,35.0,35,0.0,0.03125,0.0,0.03125,0.09375,0.09375,0.03125,0.0,0.0,4,2.375,8.0,4.361912651525904,5.5527413820176985,-1.0,0,AIGCodeSet
1,python,0,0.0,0.0,0.0,0,0,2.6875,0.0,0.5,0.6875,0.0,0.0,0.0,8,0.25,13.666666666666666,19,0,0.125,1.0,8,0.2714285714285714,11.666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,1,1.0,2.0,4.160479560833842,3.8085331020735245,-1.0,0,AIGCodeSet
1,python,0,0.0,0.0,0.0,0,0,6.1,0.0,0.175,0.475,0.35,0.0,0.35,26,0.15384615384615385,21.181818181818183,34,0,0.0,0.0,11,0.21910112359550563,8.090909090909092,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,3,2.25,5.0,4.2871485451536735,4.881801371733454,-1.0,0,AIGCodeSet
1,python,0,0.0,0.0,0.0,0,0,4.0,20.0,0.21428571428571427,0.5714285714285714,0.07142857142857142,0.0,0.07142857142857142,3,0.0,38.0,68,0,0.0,0.0,11,0.42857142857142855,21.0,3.0,3,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,4.242596354663715,4.006720834246031,-1.0,0,AIGCodeSet
1,python,6,0.07407407407407407,1.8333333333333333,0.12041467304625199,0,0,3.221476510067114,2.909090909090909,0.30201342281879195,0.31543624161073824,0.0,0.0,0.013422818791946308,81,0.32098765432098764,21.2,49,1,0.08641975308641975,0.6666666666666666,16,0.08946608946608947,12.6,4.454545454545454,28,0.7272727272727273,0.2,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.05454545454545454,0.03636363636363636,0.0,0.03636363636363636,5,1.6842105263157894,0.8181818181818182,4.978985370627739,5.355709352539586,-1.0,0,AIGCodeSet
1,python,8,0.20512820512820512,10.375,0.3724137931034483,0,0,4.719298245614035,10.0,0.24561403508771928,0.2982456140350877,0.05263157894736842,0.0,0.05263157894736842,39,0.15384615384615385,38.36363636363637,105,0,0.0,1.0,14,0.15705128205128205,9.454545454545455,39.0,39,1.0,0.030303030303030304,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,4,2.769230769230769,13.0,4.091670799966406,5.687642137816896,-1.0,0,AIGCodeSet
1,python,0,0.0,0.0,0.0,0,0,3.1372549019607843,18.0,0.5686274509803921,0.37254901960784315,0.0392156862745098,0.0,0.0392156862745098,25,0.2,18.85,75,0,0.0,1.0,10,0.21397379912663755,11.45,2.0,2,2.0,0.05,0.0,0.05,0.1,0.05,0.05,0.0,0.0,2,1.2,5.0,4.5528922115976505,4.932576302204936,-1.0,0,AIGCodeSet
1,python,0,0.0,0.0,0.0,0,0,2.4545454545454546,0.0,0.5454545454545454,0.7272727272727273,0.0,0.0,0.0,2,0.0,26.0,35,0,0.0,1.0,9,0.3958333333333333,24.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4.287567691777588,3.793739263579227,-1.0,0,AIGCodeSet
1,python,2,0.13333333333333333,1.0,0.08059701492537313,0,0,3.8157894736842106,0.0,0.42105263157894735,0.3157894736842105,0.34210526315789475,0.0,0.34210526315789475,15,0.0,21.4,42,0,0.0,1.0,11,0.22012578616352202,10.6,0.0,0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,2,1.5,3.0,4.329657483578269,4.686404238034182,-1.0,0,AIGCodeSet
